message,actual,predicted,probability_spam
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear",0,1,0.8023863988312498
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear",0,1,0.8023863988312498
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear",0,1,0.8023863988312498
"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",0,1,0.3875397082648714
This message is from a great Doctor in India:-): 1) Do not drink APPY FIZZ. It contains Cancer causing age,0,1,0.3564017340040665
"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!",1,0,0.21441706406698383
Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,1,0,0.18262173392355976
Adult 18 Content Your video will be with you shortly,1,0,0.08896622552797641
FreeMsg>FAV XMAS TONES!Reply REAL,1,0,0.08815710605515656
"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",1,0,0.07984718532826128
ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,1,0,0.06573409212324459
Bought one ringtone and now getting texts costing 3 pound offering more tones etc,1,0,0.02848634070051037
RCT' THNQ Adrian for U text. Rgds Vatian,1,0,0.022457314259353607
For sale - arsenal dartboard. Good condition but no doubles or trebles!,1,0,0.011832854720113972
